"OBJECTID","YEAR_","STATE","AGENCY","UNIT_ID","FIRE_NAME","INC_NUM","ALARM_DATE","CONT_DATE","CAUSE","C_METHOD","OBJECTIVE","GIS_ACRES","DECADES"
26294,1958,"CA","CCO","LAC","CANOGA","00000000","1958/12/31 00:00:01+00","",14,NA,1,5116.231,1950
26295,1958,"CA","CCO","LAC"," ","00000000","1958/07/10 00:00:01+00","",14,NA,1,204.08698,1950
26296,1958,"CA","CCO","LAC"," ","00000000","1958/12/31 00:00:01+00","",14,NA,1,383.70959,1950
26297,1958,"CA","CCO","LAC"," ","00000000","1958/12/03 00:00:01+00","",14,NA,1,175.83418,1950
26298,1958,"CA","CCO","LAC"," ","00000000","1958/10/04 00:00:01+00","",14,NA,1,367.91208,1950
26299,1958,"CA","CCO","LAC"," ","00000000","1958/10/02 00:00:01+00","",14,NA,1,453.63434,1950
26300,1958,"CA","CCO","LAC"," ","00000000","1958/07/11 00:00:01+00","",14,NA,1,304.59708,1950
26301,1958,"CA","CCO","LAC"," ","00000000","1958/10/21 00:00:01+00","",14,NA,1,4168.0923,1950
26302,1958,"CA","CCO","LAC"," ","00000000","1958/09/09 00:00:01+00","",14,NA,1,176.11594,1950
26303,1958,"CA","CCO","LAC"," ","00000000","1958/05/25 00:00:01+00","",14,NA,1,57.605957,1950
26304,1958,"CA","CCO","LAC"," ","00000000","1958/10/18 00:00:01+00","",14,NA,1,31.804152,1950
26305,1958,"CA","CCO","LAC"," ","00000000","1958/04/10 00:00:01+00","",14,NA,1,37.821793,1950
26325,1955,"CA","USF","PNF"," ","00000000","","",9,NA,1,408.07532,1950
26326,1955,"CA","USF","PNF","MARK","00000000","1955/08/16 00:00:01+00","",9,NA,1,924.66107,1950
26327,1958,"CA","CDF","TUU","ROCKY HILL","00000000","1958/07/28 00:00:01+00","",14,NA,1,391.71796,1950
26328,1958,"CA","CDF","TUU","WOODLAKE MTN.","00000000","1958/07/28 00:00:01+00","",14,NA,1,769.48444,1950
26329,1958,"CA","CDF","MVU","PALA","00000000","1958/09/18 00:00:01+00","",9,NA,1,1682.2162,1950
26330,1950,"CA","USF","BDF"," ","00000000","","",14,NA,1,105.46166,1950
26331,1950,"CA","USF","BDF"," ","00000000","","",14,NA,1,684.04004,1950
26332,1950,"CA","CDF","BDU","NORTH FORK","00000000","1950/06/30 00:00:01+00","",14,NA,1,13187.957,1950
26333,1950,"CA","USF","BDF"," ","00000000","","",14,NA,1,114.5265,1950
26334,1950,"CA","USF","BDF"," ","00000000","","",14,NA,1,417.78796,1950
26335,1950,"CA","USF","BDF"," ","00000000","","",14,NA,1,94.048943,1950
26336,1950,"CA","USF","BDF"," ","00000000","","",14,NA,1,309.0549,1950
26337,1950,"CA","CDF","BDU","GOCKE","00000000","1950/06/01 00:00:01+00","",14,NA,1,466.35211,1950
26338,1950,"CA","CDF","BDU","JACKSON","00000000","1950/07/04 00:00:01+00","",14,NA,1,719.51221,1950
26339,1955,"CA","USF","MDF","WELL RIG","00000000","1955/09/19 00:00:01+00","",9,NA,1,39.788013,1950
26340,1955,"CA","USF","SRF","GOOSE CREEK","00000000","1955/06/11 00:00:01+00","",1,NA,1,4.9783263,1950
26341,1955,"CA","USF","SRF","FLOWERS","00000000","1955/08/04 00:00:01+00","",2,NA,1,3.9830384,1950
26342,1955,"CA","USF","SRF","TISH TANG","00000000","1955/09/10 00:00:01+00","",5,NA,1,62.607605,1950
26343,1955,"CA","USF","SRF","GREGG","00000000","1955/06/05 00:00:01+00","",3,NA,1,388.39597,1950
26344,1955,"CA","USF","SRF","HANNEGAN","00000000","1955/08/23 00:00:01+00","",2,NA,1,810.6488,1950
26345,1955,"CA","USF","SRF","TITLOW","00000000","1955/09/01 00:00:01+00","",2,NA,1,56.132084,1950
26346,1955,"CA","USF","SRF","ULLATHORNE","00000000","1955/09/07 00:00:01+00","",1,NA,1,81.696098,1950
26347,1955,"CA","USF","SRF","RED CAP 55","00000000","1955/09/07 00:00:01+00","",1,NA,1,88.63549,1950
